title,location
Indian Institute of Knowledge Management Chennai,"Tamil Nadu, Chennai"
"University of Law College, Bangalore University","Karnataka, Bangalore"
Netaji Subhash College Raipur,"Chhattisgarh, Raipur"
TANUVAS,"Tamil Nadu, Chennai"
Jai Narain College of Technology & Science Bhopal,"Madhya Pradesh, Bhopal"
PNCKR College of PG Courses Guntur,"Andhra Pradesh, Guntur"
Maratha Mandal Polytechnic Belgaum,"Karnataka, Belgaum"
PSGIM,"Tamil Nadu, Coimbatore"
Bhagat Kabir College of Education Kathua,"Jammu & Kashmir, Kathua"
Nalini Devi Women's College Of Teacher Education Bhubaneswar,"Odisha, Bhubaneswar"
ELITTE Institute of Engineering and Management Kolkata,"West Bengal, Kolkata"
Institutes of Management studies BHU,"Uttar Pradesh, Varanasi"
Ratua S.N. Bose Government Polytechnic,"West Bengal, Malda"
K.P. Group of Institutions Agra,"Uttar Pradesh, Agra"
Shah Satnam ji College of Education Sirsa,"Haryana, Sirsa"
Kohima Science College,"Nagaland, Kohima"
Darsh Institute of Engineering and Technology Sonepat,"Haryana, Sonepat"
Ramakrishnan Chandra College of Education Theni,"Tamil Nadu, Theni"
Institute of Pharmaceutical Research GLA University Mathura,"Uttar Pradesh, Mathura"
Guru Nanak College of Education Hoshiarpur,"Punjab, Hoshiarpur"
KSR College of Arts and Science College (Autonomous) Namakkal,"Tamil Nadu, Namakkal"
Kamla Nehru College for Women Kapurthala,"Punjab, Kapurthala"
Dr DY Patil College of Architecture Akurdi Pune,"Maharashtra, Pune"
BM College of Management and Research Indore,"Madhya Pradesh, Indore"
Mata Gujri Memorial Medical College & Lions Seva Kendra Hospital Kishanganj,"Bihar, Kishanganj"
PSR Rengasamy College of Engineering for Women Virudhunagar,"Tamil Nadu, Virudhunagar"
JRSET College of Education Nadia,"West Bengal, Nadia"
Government Polytechnic College Muktsar,"Punjab, Muktsar"
Ambedkar University Delhi,"Delhi, Delhi"
Hans Raj Memorial College of Education Faridkot,"Punjab, Faridkot"
UCMS Delhi,"Delhi, Delhi"
Dr BR Ambedkar College of Law Bangalore,"Karnataka, Bangalore"
Jain University Bangalore,"Karnataka, Bangalore"
IIM Ranchi,"Jharkhand, Ranchi"
"Faculty of Arts, Humanities and Communication, Chhatrapati Shivaji Maharaj University Navi Mumbai","Maharashtra, Mumbai"
DS Arya College of Education Bahadurgarh,"Haryana, Bahadurgarh"
Gargi College,"Delhi, New Delhi"
Indian Institute of Tourism and Travel Management Bhubaneswar,"Odisha, Bhubaneswar"
Amity Global Business School Pune,"Maharashtra, Pune"
AJIMS,"Karnataka, Mangalore"
Inderprastha Dental College & Hospital Ghaziabad,"Uttar Pradesh, Ghaziabad"
Baselios Poulose ll Catholicos College Ernakulam,"Kerala, Ernakulam"
Happy Child College of Nursing Sonepat,"Haryana, Sonepat"
Shri J.D. Gabani Commerce College Surat,"Gujarat, Surat"
BGSBU,"Jammu & Kashmir, Jammu"
Landmark Institute New Delhi,"Delhi, Delhi"
Belda College,"West Bengal, Medinipur"
Holy Family Institute of Nursing Education Thane,"Maharashtra, Thane"
College of Engineering Attingal,"Kerala, Attingal"
Government College of Arts Chandigarh,"Punjab, Chandigarh"
K.M.E. Society’s G. M. Momin Women’s College Thane,"Maharashtra, Thane"
Advanced Institute of Pharmacy Palwal,"Haryana, Palwal"
Sri Mirambica BEd College Rajkot,"Gujarat, Rajkot"
"College of Veterinary Science and Animal Husbandry, Deshmukh Veterinary Science Jabalpur","Madhya Pradesh, Jabalpur"
SS Polytechnic College Udaipur,"Rajasthan, Udaipur"
AIMT Lucknow,"Uttar Pradesh, Lucknow"
Bharatiya Vidya Bhavan Centre for Communication and Management Bhubaneswar- BCCM,"Odisha, Bhubaneswar"
United College of Medical Sciences Coimbatore,"Tamil Nadu, Coimbatore"
National Engineering College Thoothukkudi,"Tamil Nadu, Kodaikanal"
Mar Baselios Institute of Technology and Science Ernakulam,"Kerala, Ernakulam"
Baba Gajadhar Das Balika Post Graduate College Ghazipur,"Uttar Pradesh, Ghazipur"
Bhaikaka University Anand,"Gujarat, Anand"
TS Narayanaswami College of Arts and Science Chennai,"Tamil Nadu, Chennai"
St. Mira's College for Girls Pune,"Maharashtra, Pune"
CSMU,"Maharashtra, Mumbai"
United Institute of Technology Coimbatore,"Tamil Nadu, Coimbatore"
"Faculty of Science, Noble Group of Institution Junagadh","Gujarat, Junagadh"
Government College of Education Chandigarh,"Punjab, Chandigarh"
Uttar Pradesh Textile Technology Institute Kanpur,"Uttar Pradesh, Kanpur"
Dr. Panjabrao Deshmukh Girls Polytechnic Amravati,"Maharashtra, Amravati"
Government College Kariavattom Thiruvananthapuram,"Kerala, Thiruvananthapuram"
RIT Islampur,"Maharashtra, Sangli"
Kamla Nehru Institute of Management and Technology Sultanpur,"Uttar Pradesh, Sultanpur"
Residential Girls Polytechnic Golaghat,"Assam, Golaghat"
Sri Sowdambika Polytechnic College Virudhunagar,"Tamil Nadu, Virudhunagar"
Kohinoor Management School Mumbai,"Maharashtra, Mumbai"
Sardar Vallabhbhai Patel Arts and Science College Jalgaon,"Maharashtra, Jalgaon"
Wavoo Wajeeha Women's College Thoothukudi,"Tamil Nadu, Thoothukudi"
Michael Job Memorial College of Education for Women Coimbatore,"Tamil Nadu, Coimbatore"
"Atmiya Institute of Science and Technology for Diploma Studies, Atmiya University Rajkot","Gujarat, Rajkot"
Shri Swami Vivekanand Shikshan Sanstha Gurujan Junior College of Education Satara,"Maharashtra, Satara"
Dr DY Patil Institute of Optometry and Visual Sciences Pune,"Maharashtra, Pune"
NMIMS Bangalore,"Karnataka, Bangalore"
RV University Bangalore,"Karnataka, Bangalore"
NRI Medical College Guntur,"Andhra Pradesh, Guntur"
Kai. Sau. Sunitatati Eknatharao Dhakane Polytechnic Ahmednagar,"Maharashtra, Ahmednagar"
MCT College of Legal Studies Malappuram,"Kerala, Malappuram"
Dhing College Nagaon,"Assam, Nagaon"
Institute of Mathematics & Applications Bhubaneswar,"Odisha, Bhubaneswar"
